商品编号	商品名称	品牌编号	品牌英文名称	品牌中文名称	商品性别	商品商城分类编号	商品商城分类名称
30016359	男士斜挎包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	1	A02B01C04D01	男士斜挎包
30016345	男士双肩包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	1	A02B01C05D01	男士双肩包
30016333	男士手提包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	1	A02B01C01D01	男士手提包
30016332	男士手提包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	1	A02B01C01D01	男士手提包
30016329	男士短款钱夹	B0109	BALLY	巴利	1	A02B01C15D02	短款钱夹
30016327	男士卡夹	B0109	BALLY	巴利	1	A02B01C08D01	小型配件
30016282	女士手提包	B0373	ARMANI JEANS		0	A01B01C01D01	手提包
30016281	女士手提包	B0373	ARMANI JEANS		0	A01B01C01D01	手提包
30016277	女士斜挎包	B0373	ARMANI JEANS		0	A01B01C48D01	斜挎包
30016273	女士手提包	B0373	ARMANI JEANS		0	A01B01C01D01	手提包
30016272	女士手提包	B0373	ARMANI JEANS		0	A01B01C01D01	手提包
30016271	女士手提包	B0373	ARMANI JEANS		0	A01B01C01D01	手提包
30016259	女士手提包	B0373	ARMANI JEANS		0	A01B01C01D01	手提包
30016253	女士手提包	B0373	ARMANI JEANS		0	A01B01C01D01	手提包
30016251	女士手提包	B0373	ARMANI JEANS		0	A01B01C01D01	手提包
30016250	女士手提包	B0373	ARMANI JEANS		0	A01B01C01D01	手提包
30016248	女士手提包	B0373	ARMANI JEANS		0	A01B01C01D01	手提包
30016231	风衣	B0210	ALLAIRE	艾奈尔	0	A01B02C03D10	风衣
30016226	毛织开衫	B0210	ALLAIRE	艾奈尔	0	A01B02C71D01	针织毛衣
30016223	连衣裙	B0210	ALLAIRE	艾奈尔	0	A01B02C39D01	连衣裙
30016220	毛织开衫	B0210	ALLAIRE	艾奈尔	0	A01B02C71D01	针织毛衣
30016218	连衣裙	B0210	ALLAIRE	艾奈尔	0	A01B02C39D01	连衣裙
30016208	包扣套头毛衫	B0210	ALLAIRE	艾奈尔	0	A01B02C71D01	针织毛衣
30016207	女士系带保暖及膝靴	B02579	MOON BOOT	月亮靴	0	A01B03C52D01	及膝靴
30016206	女士系带太空及膝靴	B02579	MOON BOOT	月亮靴	0	A01B03C52D01	及膝靴
30016205	女士系带保暖及膝靴	B02579	MOON BOOT	月亮靴	0	A01B03C52D01	及膝靴
30016204	女士山羊皮毛一体及膝靴	B02579	MOON BOOT	月亮靴	0	A01B03C52D01	及膝靴
30016203	女士系带太空及膝靴	B02579	MOON BOOT	月亮靴	0	A01B03C52D01	及膝靴
30016202	女士系带太空及膝靴	B02579	MOON BOOT	月亮靴	0	A01B03C52D01	及膝靴
30016201	女士及膝靴	B02579	MOON BOOT	月亮靴	0	A01B03C52D01	及膝靴
30016200	女士及膝靴	B02579	MOON BOOT	月亮靴	0	A01B03C52D01	及膝靴
30016199	女士及膝靴	B02579	MOON BOOT	月亮靴	0	A01B03C52D01	及膝靴
30016198	女士系带太空及膝靴	B02579	MOON BOOT	月亮靴	0	A01B03C52D01	及膝靴
30016197	女士系带太空及膝靴	B02579	MOON BOOT	月亮靴	0	A01B03C52D01	及膝靴
30016196	女士优雅简约全皮手拿包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	0	A01B01C55D01	手拿包
30016195	女士简约全皮手拿包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	0	A01B01C55D01	手拿包
30016194	女士优雅全皮手拎包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	0	A01B01C01D01	手提包
30016193	男士牛皮钥匙包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	1	A02B01C09D01	男士钥匙包
30016192	男士简约牛皮卡片夹	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	1	A02B01C08D01	小型配件
30016191	女士个性链条手拿包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	0	A01B01C55D01	手拿包
30016190	女士个性链条手拿包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	0	A01B01C55D01	手拿包
30016189	女士个性链条手拿包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	0	A01B01C55D01	手拿包
30016188	女士个性链条单肩小包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	0	A01B01C47D01	单肩包
30016187	女士个性链条单肩小包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	0	A01B01C47D01	单肩包
30016186	女士个性链条单肩小包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	0	A01B01C47D01	单肩包
30016185	女士个性链条单肩小包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	0	A01B01C47D01	单肩包
30016184	女士个性链条单肩小包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	0	A01B01C47D01	单肩包
30016183	女士个性款链条单肩小包	B0001	EMPORIO ARMANI	安普里奥·阿玛尼	0	A01B01C47D01	单肩包
